Date,pH,Temp,Alkalanity (mol/L),Ammonia (g N / L),Nitrite (mg N/L),Nitrate (mg N/L),BOD (mg/L),TKN (mg /L),XTSS(g / L)
1/6/2013,7.15,60.8,0.00100,0.0077,0.0023,0.0005,119,15.40,0.122
1/13/2013,7.08,59.8,0.00098,0,0.0000,0.0000,138,,0.141
1/20/2013,7.02,60,0.00098,0,0.0000,0.0000,144,,0.133
1/27/2013,7.4,61.6,0.00101,0,0.0000,0.0000,227,,0.225
2/3/2013,7.78,62.2,0.00102,0,0.0000,0.0000,221,,0.25
2/10/2013,7.6,63,0.00103,0.037177778,0.0113,0.0026,250,65.70,0.233
2/17/2013,7.58,62.8,0.00103,0,0.0000,0.0000,260,,0.236
2/24/2013,7.32,62.8,0.00103,0,0.0000,0.0000,243,,0.229
3/3/2013,7.32,59.2,0.00097,0,0.0000,0.0000,199,,0.191
3/10/2013,7.32,59.4,0.00097,0.028933333,0.0088,0.0020,226,53.40,0.212
3/17/2013,7.22,59.8,0.00098,0,0.0000,0.0000,182,,0.187
3/24/2013,6.9,57.4,0.00094,0,0.0000,0.0000,113,,0.121
3/31/2013,7.32,60.8,0.00100,0,0.0000,0.0000,236,,0.215
4/7/2013,7.62,62.2,0.00102,0.033911111,0.0103,0.0023,237,61.00,0.26
4/14/2013,7.64,62.8,0.00103,0,0.0000,0.0000,261,,0.275
4/21/2013,7.46,63.8,0.00104,0,0.0000,0.0000,270,,0.243
4/28/2013,7.62,64,0.00105,0,0.0000,0.0000,250,,0.254
5/5/2013,7.66,65.8,0.00108,0.035,0.0107,0.0024,278,63.90,0.254
5/12/2013,7.78,67.2,0.00110,0,0.0000,0.0000,287,,0.279
5/19/2013,6.78,62.6,0.00102,0,0.0000,0.0000,186,,0.182
5/26/2013,6.96,66,0.00108,0,0.0000,0.0000,155,,0.169
6/2/2013,6.58,65.5,0.00107,0,0.0000,0.0000,126,,0.184
6/9/2013,6.78,68.4,0.00112,0.016333333,0.0050,0.0011,157,36.30,0.172
6/16/2013,6.64,65,0.00106,0,0.0000,0.0000,64,,0.078
6/23/2013,6.68,65.6,0.00107,0,0.0000,0.0000,78,,0.082
6/30/2013,6.78,68,0.00111,0,0.0000,0.0000,113,,0.12
7/7/2013,6.93,71,0.00116,0.012211111,0.0037,0.0008,86,26.40,0.101
7/14/2013,6.84,73.2,0.00120,0,0.0000,0.0000,116,,0.148
7/21/2013,7.08,73.2,0.00120,0,0.0000,0.0000,143,,0.157
7/28/2013,6.8,72.6,0.00119,0,0.0000,0.0000,124,,0.142
